"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U2","LIS2DW12","15.875mm","45.085mm","15.875mm","45.085mm","14.9098mm","45.835mm","T","0.00","LIS2DW12"
"ANT1","2450AT18D0100E_RH","1.397mm","32.893mm","1.397mm","32.893mm","2.047mm","34.393mm","T","90.00","2450AT18D0100E"
"U7","TPS63001","21.59mm","19.05mm","21.59mm","19.05mm","23.09mm","18.05mm","T","180.00","TPS63002"
"U6","LM3671-SOT23","15.24mm","19.05mm","15.24mm","19.05mm","16.615mm","18.1mm","T","180.00","LM3671"
"U5","MCP73831","7.62mm","8.89mm","7.62mm","8.89mm","8.57mm","10.265mm","T","270.00","MCP73832"
"U4","TXB0101DCKR","22.225mm","45.72mm","22.225mm","45.72mm","21.575mm","44.62mm","T","90.00","TXB0101DCKR"
"U3","TXB0101DCKR","12.7mm","24.765mm","12.7mm","24.765mm","11.6mm","25.415mm","T","360.00","TXB0101DCKR"
"U1","ESP32-PICO-D4","5.715mm","43.688mm","5.715mm","43.688mm","2.965mm","40.288mm","T","90.00","ESP32-PICO-D4"
"SW1","MS0850506F020P1C","22.225mm","51.435mm","22.225mm","51.435mm","26.625mm","51.435mm","B","180.00","MS0850506F020P1C"
"R11","RES_0402_HIGH","18.415mm","19.685mm","18.415mm","19.685mm","18.415mm","19.235mm","T","90.00","100"
"R10","RES_0402_HIGH","10.16mm","7.62mm","10.16mm","7.62mm","10.16mm","8.07mm","T","270.00","2k"
"R9","RES_0402_HIGH","10.16mm","9.525mm","10.16mm","9.525mm","10.16mm","9.975mm","T","270.00","10k"
"R8","RES_0402_HIGH","22.225mm","48.26mm","22.225mm","48.26mm","22.675mm","48.26mm","T","180.00","10k"
"R7","RES_0402_HIGH","15.24mm","24.13mm","15.24mm","24.13mm","15.24mm","23.68mm","T","90.00","10k"
"R6","RES_0402_HIGH","15.24mm","26.035mm","15.24mm","26.035mm","15.24mm","26.485mm","T","270.00","10k"
"R5","RES_0402_HIGH","22.225mm","52.07mm","22.225mm","52.07mm","21.775mm","52.07mm","T","360.00","10k"
"R4","RES_0402_HIGH","13.843mm","44.831mm","13.843mm","44.831mm","13.843mm","44.381mm","T","90.00","10k"
"R3","RES_0402_HIGH","14.224mm","47.117mm","14.224mm","47.117mm","13.774mm","47.117mm","T","360.00","10k"
"R2","RES_0402_HIGH","6.604mm","38.989mm","6.604mm","38.989mm","7.054mm","38.989mm","T","180.00","10k"
"R1","RES_0402_HIGH","2.921mm","37.592mm","2.921mm","37.592mm","2.921mm","37.142mm","T","90.00","0"
