Comment,Designator,Footprint,LCSC Part #（optional）
100nF,"C2, C5, C7, C8, C9, C10, C11, C12, C20",0402_C,C71629
10k,"R2, R3, R4, R5, R6, R7, R8, R9",0402_R,C60489
10uF,"C1, C6, C16, C17, C18, C19",0603_C,C19702
"CUS10S30,H3F","D1, D2, D3",SOD-323,C146335
4.7uF,"C13, C14",0402_C,C386043
K2-1808SN-A4SW-01,"B1, B2",SMD,C92589
TXB0101DCKR,"U3, U4",SC-70-6,C324081
YNR3015-2R2M,"L1, L2",SMD_3.0x3.0x1.5mm,C340359
0,R1,0402_R,C106231
100,R11,0402_R,C106233
2450AT18D0100E,ANT1,,2450AT18D0100E 2.4GHz  Chip RF Antenna 2.4GHz ~ 2.5GHz 1.5dBi Solder Surface Mount
2k,R10,0402_R,C4109
4.7uF,C15,0603_C,C19666
901-211A1021D10100,P1,USB-A-TH_USB-M-1_C2346,C2346
ESP32-PICO-D4,U1,QFN-48_EP_7.0x7.0x0.5P,C193707
LIS2DW12,U2,LGA-12_2.0x2.0x0.5P,C189624
LM3671,U6,SOT-23-5,C477918
MCP73832,U5,SOT-23-5,C38066
MicroXNJ,P2,SMD,C404969
MS0850506F020P1C,SW1,,MS0850506F020P1C SWITCH SNAP ACT SPST-NO 5A 125V
STD3NK90ZT4,Q1,TO-252-2,C35685
TPS63002,U7,WSON-10_EP_3.0x3.0x0.5P,C116655
